name,category,era,museum,level,accession_year,material,image_urls,detail_url,source
彩绘陶俑,雕塑、造像,汉,菏泽市博物馆,二级,2001,单一质地/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000019/3717022180000580000019-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000019/3717022180000580000019-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000019/3717022180000580000019-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000019/3717022180000580000019-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000019/3717022180000580000019-E-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000019/3717022180000580000019-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=20207bde362f48818d51084b3408b3c3,博物中国
龙山文化骨针,牙骨角器,新石器时代,菏泽市博物馆,二级,1992,单一质地/有机质/骨角牙,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000037/3717022180000580000037-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000037/3717022180000580000037-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000037/3717022180000580000037-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000037/3717022180000580000037-A-0004_wm.jpg,https://www.museumschina.cn/collection/details?id=263320481ba544388cb08f0c7b32160f,博物中国
宰甫卣,铜器,商,菏泽市博物馆,一级,2001,单一质地/无机质/铜,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-1001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-1002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-1003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-1004_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-1005_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-1006_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-A-1007_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000001/3717022180000580000001-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=307aa7c6a6bd48f388203a826a18eaab,博物中国
龙山文化骨簪,牙骨角器,新石器时代,菏泽市博物馆,二级,2001,单一质地/有机质/骨角牙,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000039/3717022180000580000039-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000039/3717022180000580000039-A-0002_wm.jpg,https://www.museumschina.cn/collection/details?id=2433e730ca82436095c8c4a718fa467c,博物中国
彩绘陶俑,雕塑、造像,汉,菏泽市博物馆,二级,1991,单一质地/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000008/3717022180000580000008-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000008/3717022180000580000008-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000008/3717022180000580000008-C-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000008/3717022180000580000008-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000008/3717022180000580000008-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000008/3717022180000580000008-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=6e7d782fb82d4cdca82a87ff95370d56,博物中国
陶罐,陶器,战国时代,菏泽市博物馆,二级,2001,单一质地/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000017/3717022180000580000017-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000017/3717022180000580000017-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000017/3717022180000580000017-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000017/3717022180000580000017-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000017/3717022180000580000017-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=5f1672f74e04442993cc1261ad764195,博物中国
彩绘陶俑,雕塑、造像,西汉,菏泽市博物馆,二级,1997,单一质地/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000013/3717022180000580000013-A-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000013/3717022180000580000013-A-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000013/3717022180000580000013-B-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000013/3717022180000580000013-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000013/3717022180000580000013-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000013/3717022180000580000013-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000013/3717022180000580000013-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=9b5574379a544279a032e7e842b0079a,博物中国
龙山文化骨簪,牙骨角器,新石器时代,菏泽市博物馆,二级,1991,单一质地/有机质/骨角牙,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000036/3717022180000580000036-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000036/3717022180000580000036-D-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000036/3717022180000580000036-D-0003_wm.jpg,https://www.museumschina.cn/collection/details?id=8cf3a5789c224dc9a7b31f33d15c57b9,博物中国
彩绘陶俑,雕塑、造像,西汉,菏泽市博物馆,二级,1997,单一质地/无机质/陶,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000009/3717022180000580000009-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000009/3717022180000580000009-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000009/3717022180000580000009-C-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000009/3717022180000580000009-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000009/3717022180000580000009-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000009/3717022180000580000009-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=6fe62cdc83714ab0be156747e0d1cd0d,博物中国
花卉纹高足瓷罐,瓷器,元,菏泽市博物馆,二级,1991,单一质地/无机质/瓷,http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000004/3717022180000580000004-A-0003_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000004/3717022180000580000004-B-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000004/3717022180000580000004-C-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000004/3717022180000580000004-C-0002_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000004/3717022180000580000004-D-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000004/3717022180000580000004-E-0001_wm.jpg|http://www.museumschina.cn/img/waterMark/2019-01-02-14-28-22/yipu/da/37/17/02/21800005/80000004/3717022180000580000004-F-0001_wm.jpg,https://www.museumschina.cn/collection/details?id=47cbed582b2d4b599c92b81a09db33a0,博物中国
